,date,price,market_cap,total_volume,daily_return,log_return,volatility_7d,ma_7,ma_30,volume_change,google_trends_score,news_count,fear_greed_value,fear_greed_classification,price_change,volatility_14d,price_to_ma7,price_to_ma30,trends_change,trends_pct_change,trends_rolling_mean_7d,trends_rolling_std_7d,fear_greed_change,fear_greed_rolling_mean_7d,fear_greed_rolling_std_7d,return_lag_1,log_return_lag_1,volume_change_lag_1,volatility_7d_lag_1,trends_lag_1,trends_change_lag_1,fear_greed_lag_1,fear_greed_change_lag_1,news_count_lag_1,return_lag_3,log_return_lag_3,volume_change_lag_3,volatility_7d_lag_3,trends_lag_3,trends_change_lag_3,fear_greed_lag_3,fear_greed_change_lag_3,news_count_lag_3,return_lag_7,log_return_lag_7,volume_change_lag_7,volatility_7d_lag_7,trends_lag_7,trends_change_lag_7,fear_greed_lag_7,fear_greed_change_lag_7,news_count_lag_7,return_lag_14,log_return_lag_14,volume_change_lag_14,volatility_7d_lag_14,trends_lag_14,trends_change_lag_14,fear_greed_lag_14,fear_greed_change_lag_14,news_count_lag_14,news_count_change,news_count_rolling_mean_7d,target_up_next_day,target_high_volatility_next_7d
count,1830,1830.0,1830.0,1830.0,1829.0,1829.0,1823.0,1824.0,1801.0,1829.0,1830.0,0.0,1829.0,1829,1829.0,1816.0,1824.0,1801.0,1829.0,1829.0,1824.0,1824.0,1827.0,1817.0,1817.0,1828.0,1828.0,1828.0,1822.0,1829.0,1828.0,1828.0,1826.0,0.0,1826.0,1826.0,1826.0,1820.0,1827.0,1826.0,1826.0,1824.0,0.0,1822.0,1822.0,1822.0,1816.0,1823.0,1822.0,1822.0,1820.0,0.0,1815.0,1815.0,1815.0,1809.0,1816.0,1815.0,1815.0,1813.0,0.0,0.0,0.0,1830.0,1830.0
unique,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,,,,,,,,,,,,,Greed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,2023-09-14 12:00:00,55879.33676986525,1093520949001.4955,34789024186.232796,0.0005401060414576696,0.00010911275707082447,0.02612574873031069,55847.27171677171,55760.09409513007,0.10011462746629157,29.466120218579235,,46.90705303444505,,7.404565756280252,0.027060567072304885,0.0006686484115034631,0.003534546916645691,-0.015855658829961726,0.003361182075596437,29.435933583959898,2.098352139645177,-0.028461959496442254,46.8206620017297,4.843671593248691,0.0005240219025572067,9.30332758177819e-05,0.09965707754753153,0.026134240656536484,29.469108802624383,-0.01586433260393873,46.917396061269145,-0.0312157721796276,,0.0005113884417391062,8.004547438392327e-05,0.09998124379246105,0.026146723508071748,29.47509578544061,-0.01533406352683461,46.94797371303395,-0.03508771929824561,,0.0004926404384138736,6.048951333115647e-05,0.10005060640651751,0.026144951207726856,29.484914975315416,-0.015367727771679473,47.015916575192094,-0.036813186813186814,,0.0004956087690450375,6.397043629646831e-05,0.10023050707921599,0.026104500180169,29.484581497797357,-0.011019283746556474,47.144903581267215,-0.03640375068946498,,,,0.4961748633879781,0.49781420765027323
min,2021-03-14 00:00:00,15742.444335961438,301963847693.5264,404806432.5216888,-0.1584584813408395,-0.17251992769833244,0.0037043307409238193,16353.527418418245,16699.48570549052,-0.9497683629210331,15.0,,5.0,,-10318.601648029406,0.0053086049589829995,-0.20509729170326074,-0.32130438243195236,-31.0,-0.40476190476190477,15.0,0.0,-37.0,7.428571428571429,0.48795003647726637,-0.1584584813408395,-0.17251992769833244,-0.9497683629210331,0.0037043307409238193,15.0,-31.0,5.0,-37.0,,-0.1584584813408395,-0.17251992769833244,-0.9497683629210331,0.0037043307409238193,15.0,-31.0,5.0,-37.0,,-0.1584584813408395,-0.17251992769833244,-0.9497683629210331,0.0037043307409238193,15.0,-31.0,5.0,-37.0,,-0.1584584813408395,-0.17251992769833244,-0.9497683629210331,0.0037043307409238193,15.0,-31.0,5.0,-37.0,,,,0.0,0.0
25%,2022-06-14 06:00:00,29415.061434932486,569035146236.7266,19963966568.666435,-0.012677823215625605,-0.012758872564560842,0.016871041542630947,29428.495526333736,28905.22127084096,-0.19164201498132838,20.0,,27.0,,-621.5592326430196,0.019009779311502502,-0.01852074840266779,-0.04774791645016574,0.0,0.0,20.821428571428573,0.0,-3.0,27.0,2.410295378065655,-0.012687500813238883,-0.012768674620630064,-0.1917510774722637,0.016913287434604497,20.0,0.0,27.0,-3.0,,-0.01270685600846544,-0.012788278732768507,-0.19157265006900406,0.016943867738304426,20.0,0.0,27.0,-3.0,,-0.012732797093104486,-0.012814553935798282,-0.19196920245413432,0.016884519412692738,20.0,0.0,27.0,-3.0,,-0.012648131812554086,-0.012728800809964403,-0.191860139963199,0.016787752703466687,20.0,0.0,27.0,-3.0,,,,0.0,0.0
50%,2023-09-14 12:00:00,48865.16297035568,921039231909.4736,29931488330.75573,-0.00017027989168405533,-0.00017029439095079036,0.02349246806787932,48540.09054737436,47641.05579775917,-0.003342406338236348,26.0,,49.0,,-6.7721461584405915,0.024933005492872917,0.0001660034627583018,-0.0027411442625751015,0.0,0.0,26.571428571428573,0.9759000729501157,0.0,48.285714285714285,3.728908942942806,-0.00017432956446256087,-0.00017434476983010398,-0.0034874424209777044,0.023500241362904073,26.0,0.0,49.0,0.0,,-0.00019849870299581962,-0.00019851860894764373,-0.0034874424209777044,0.02350839237971468,26.0,0.0,49.0,0.0,,-0.00023678015076883385,-0.0002368081924554193,-0.0034874424209777044,0.023500241362904073,26.0,0.0,49.0,0.0,,-0.00021861816875057283,-0.00021864206918586983,-0.003342406338236348,0.023451350366229088,26.0,0.0,49.0,0.0,,,,0.0,0.0
75%,2024-12-14 18:00:00,73018.6035406013,1453636733425.009,43154735888.24422,0.013584357842897132,0.013492917627592985,0.032296657800261766,72048.53714140791,79493.91433020894,0.2730628159751787,35.0,,68.0,,683.5193132024142,0.033137662144417254,0.021477270284966765,0.05740663229710763,0.0,0.0,35.035714285714285,2.736384369054843,3.0,66.71428571428571,6.309478885734079,0.01355666128549976,0.013465591769867466,0.2728124923394285,0.03229775520162885,35.0,0.0,68.0,3.0,,0.013539097882868889,0.013448263156614095,0.27297937476326195,0.03229956062906121,35.0,0.0,68.0,3.0,,0.013539097882868889,0.013448263156614095,0.27297937476326195,0.03229956062906121,35.0,0.0,68.0,3.0,,0.013530766666037142,0.013440043162602562,0.27266210608727726,0.032207965305751415,35.0,0.0,68.0,3.0,,,,1.0,1.0
max,2026-03-17 00:00:00,124773.50823074432,2486073086655.2866,190460293531.538,0.14342062470719585,0.13402431773577245,0.0890733627513873,122782.86769469254,117507.38082621279,15.311515093648431,100.0,,94.0,,8256.27656857422,0.06894011663786606,0.15389541561866515,0.30046467860695825,44.0,1.7599999999999998,100.0,23.51898928829329,31.0,87.85714285714286,22.381965529246546,0.14342062470719585,0.13402431773577245,15.311515093648431,0.0890733627513873,100.0,44.0,94.0,31.0,,0.14342062470719585,0.13402431773577245,15.311515093648431,0.0890733627513873,100.0,44.0,94.0,31.0,,0.14342062470719585,0.13402431773577245,15.311515093648431,0.0890733627513873,100.0,44.0,94.0,31.0,,0.14342062470719585,0.13402431773577245,15.311515093648431,0.0890733627513873,100.0,44.0,94.0,31.0,,,,1.0,1.0
