model,feature_set,n_features,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc
Random Forest,Google Trends only,8,1464,366,0.5,0.495575221238938,0.6187845303867403,0.5503685503685504,0.4822756458115574
Random Forest,Fear & Greed only,7,1464,366,0.5218579234972678,0.5147058823529411,0.580110497237569,0.5454545454545454,0.5091832163655368
Random Forest,Market + Google Trends,18,1464,366,0.5382513661202186,0.532258064516129,0.5469613259668509,0.5395095367847411,0.5282066596983723
Random Forest,Market only,10,1464,366,0.546448087431694,0.5433526011560693,0.5193370165745856,0.5310734463276836,0.544661788860684
Logistic Regression,Market only,10,1464,366,0.4972677595628415,0.4928909952606635,0.574585635359116,0.5306122448979592,0.5035090338957743
Random Forest,Market + Fear & Greed,17,1464,366,0.5382513661202186,0.5337078651685393,0.5248618784530387,0.5292479108635098,0.5402120352396595
Logistic Regression,Market + Google Trends,18,1464,366,0.4863387978142076,0.4837209302325581,0.574585635359116,0.5252525252525253,0.5004330297147976
Random Forest,Market + Google Trends + Fear & Greed,25,1464,366,0.5218579234972678,0.5163043478260869,0.5248618784530387,0.5205479452054794,0.5239958190234434
Logistic Regression,Market + Fear & Greed,17,1464,366,0.494535519125683,0.49,0.5414364640883977,0.5144356955380578,0.4881290129908915
Logistic Regression,Fear & Greed only,7,1464,366,0.4918032786885246,0.4864864864864865,0.4972375690607735,0.4918032786885246,0.4899208600866059
Logistic Regression,Google Trends only,8,1464,366,0.4590163934426229,0.4589371980676328,0.5248618784530387,0.4896907216494845,0.4583544870837688
Logistic Regression,Market + Google Trends + Fear & Greed,25,1464,366,0.4672131147540984,0.4646464646464646,0.5082872928176796,0.4854881266490765,0.4828131999402717
Majority Class Baseline,Market only,10,1464,366,0.505464480874317,0.0,0.0,0.0,0.5
